id,name,school_type,school_type_category,city,state,country_code,time_zone,alternate_names,
65,Albuquerque Academy,Private,2,Albuquerque,NM,USA,Mountain Time (US & Canada),
66,Alcorn State University,4-year College,1,Alcorn State,MS,USA,Central Time (US & Canada),
67,Aldersgate Christian Academy,Private,2,Cincinnati,OH,USA,Eastern Time (US & Canada),
68,Alderson Broaddus College,4-year College,1,Philippi,WV,USA,Eastern Time (US & Canada),
69,Aledo Christian School,Private,2,Aledo,TX,USA,Central Time (US & Canada),
70,Alexander Dawson School,Private,2,Lafayette,CO,USA,Mountain Time (US & Canada),
71,Alexander School,Private,2,Richardson,TX,USA,Central Time (US & Canada),
72,Alexander-Smith Academy,Private,2,Houston,TX,USA,Central Time (US & Canada),
73,Alexandria Technical College,2-year College,1,Alexandria,MN,USA,Central Time (US & Canada),
75,Alfred University,4-year College,1,Alfred,NY,USA,Eastern Time (US & Canada),
76,Algoma Christian School,Private,2,Kent City,MI,USA,Eastern Time (US & Canada),
77,Algonquin College,4-Year College,1,Ottowa,ON,CAN,Eastern Time (US & Canada),
78,Alice Lloyd College,2-year College,1,Pippa Passes,KY,USA,Eastern Time (US & Canada),
79,All Hallows High School,Private,2,Bronx,NY,USA,Eastern Time (US & Canada),
80,All Saints Academy,Private,2,Winter Haven,FL,USA,Eastern Time (US & Canada),
81,All Saints Catholic Academy,Private,2,Rochester,NY,USA,Eastern Time (US & Canada),
82,Allan Hancock College,2-year College,1,Santa Maria,CA,USA,Pacific Time (US & Canada),
83,Allegheny College,4-year College,1,Meadville,PA,USA,Eastern Time (US & Canada),
84,Alleluia Community School,Private,2,Augusta,GA,USA,Eastern Time (US & Canada),
85,Alleman High School,Private,2,Rock Island,IL,USA,Central Time (US & Canada),
86,Allen Academy,Private,2,Bryan,TX,USA,Central Time (US & Canada),
87,Allendale Columbia School,Private,2,Rochester,NY,USA,Eastern Time (US & Canada),
88,Allentown Central Catholic High School,Catholic,2,Allentown,PA,USA,Eastern Time (US & Canada),
89,Alliance Christian School,Private,2,Portsmouth,VA,USA,Eastern Time (US & Canada),
90,Alliant International University,4-Year College,1,San Diego,CA,USA,Pacific Time (US & Canada),
91,Allison Academy,Private,2,North Miami Beach,FL,USA,Eastern Time (US & Canada),
92,Alma College,2-year College,1,Alma,MI,USA,Eastern Time (US & Canada),
93,Alma Heights Christian Academy,Private,2,Pacifica,CA,USA,Pacific Time (US & Canada),
94,Almaden School,Private,2,San Jose,CA,USA,Pacific Time (US & Canada),
95,Alpena Cmty College,2-year College,1,Alpena,MI,USA,Eastern Time (US & Canada),
96,Alpha Beacon Christian School,Private,2,San Mateo,CA,USA,Pacific Time (US & Canada),
97,Alpine Christian Academy,Private,2,Basalt,CO,USA,Mountain Time (US & Canada),
98,Altamont School,Private,2,Birmingham,AL,USA,Central Time (US & Canada),
99,Altamonte Christian School,Private,2,Altamonte Spg,FL,USA,Eastern Time (US & Canada),
100,Althoff Catholic High School,Private,2,Belleville,IL,USA,Central Time (US & Canada),
101,Singapore American School,Private,2,Singapore,,SGP,Singapore,
102,University of New Hampshire,4-year College,1,Durham,NH,USA,Eastern Time (US & Canada),UNH
103,University of New Hampshire-Manchester,4-year College,1,Manchester,NH,USA,Eastern Time (US & Canada),UNH
104,University of Massachusetts-Amherst,4-year College,1,Amherst,MA,USA,Eastern Time (US & Canada),UMass
105,University of Massachusetts-Boston,4-year College,1,Boston,MA,USA,Eastern Time (US & Canada),UMass
106,University of Massachusetts-Dartmouth,4-year College,1,Dartmouth,MA,USA,Eastern Time (US & Canada),UMass
107,University of Massachusetts-Lowell,4-year College,1,Lowell,MA,USA,Eastern Time (US & Canada),UMass
