id,label,title
139,supersite_websam,"Descubre, Level 2 (Supersite + e-Cuaderno)"
140,supersite_websam,"Descubre, Level 3 (Supersite + e-Cuaderno)"
141,instructor,Instructor - Denk Mal!
145,supersite,Denk Mal! (Supersite)
146,supersite,"Enfoques, Third Edition (Supersite)"
147,instructor,"Instructor - Enfoques, Third Edition"
149,supersite,"Imaginez, Second Edition (Supersite)"
150,instructor,"Instructor - Imaginez, Second Edition"
151,instructor,"Instructor - Vistas, Fourth Edition"
152,supersite,"Vistas, Fourth Edition (Supersite)"
153,supersite_vtext,"Enfoques, Third Edition (Supersite + vText)"
154,supersite_vtext,"Vistas, Fourth Edition (Supersite + vText)"
158,instructor,"Instructor - Facetas, Third Edition"
159,supersite,"Facetas, Third Edition (Supersite)"
161,instructor,Instructor - Rêvez
162,supersite,Rêvez (Supersite)
168,instructor,Instructor - Intrigas
169,supersite,Intrigas (Supersite)
170,instructor,Instructor - Protagonistas
171,supersite,Protagonistas (Supersite)
174,instructor,Instructor - A Handbook of Contemporary Spanish Grammar
175,supersite,A Handbook of Contemporary Spanish Grammar (Supersite)
176,instructor,Instructor - Taller de Escritores
177,supersite,Taller de Escritores (Supersite)
180,plus,Denk Mal! Upgrade to Supersite Plus
181,plus,"Enfoques, Third Edition Upgrade to Supersite Plus"
182,plus,"Facetas, Third Edition Upgrade to Supersite Plus"
183,plus,"Vistas, Fourth Edition Upgrade to Supersite Plus"
184,plus,"Imaginez, Second Edition Upgrade to Supersite Plus"
185,plus,R&ecirc;vez Upgrade to Supersite Plus
186,plus,Intrigas Upgrade to Supersite Plus
187,plus,Protagonistas Upgrade to Supersite Plus
188,plus,A Handbook of Contemporary Spanish Grammar Upgrade to Supersite Plus
189,plus,Taller de Escritores Upgrade to Supersite Plus
190,supersite_websam_supersite plus,Denk Mal! (Supersite Plus)
191,supersite_websam_supersite plus,"Enfoques, Third Edition (Supersite Plus)"
192,supersite_websam_vtext_supersite plus,"Enfoques, Third Edition (Supersite Plus with vText)"
193,supersite_websam_supersite plus,"Facetas, Third Edition (Supersite Plus)"
194,supersite_websam_supersite plus,"Vistas, Fourth Edition (Supersite Plus)"
195,supersite_websam_vtext_supersite plus,"Vistas, Fourth Edition (Supersite Plus with vText)"
196,supersite_websam_supersite plus,"Imaginez, Second Edition (Supersite Plus)"
197,supersite_websam_supersite plus,Rêvez (Supersite Plus)
198,supersite_supersite plus,Intrigas (Supersite Plus)
200,supersite_websam_supersite plus,Protagonistas (Supersite Plus)
202,supersite_supersite plus,A Handbook of Contemporary Spanish Grammar (Supersite Plus)
203,supersite_supersite plus,Taller de Escritores (Supersite Plus)
204,supersite_vtext,D'accord! Level 1 (Supersite + vText)
205,supersite_vtext,D'accord! Level 2 (Supersite + vText)
206,supersite_vtext,D'accord! Level 3 (Supersite + vText)
207,supersite_websam_vtext,D'accord! Level 1 (Supersite + Cahier interactif + vText)
