target_word,target_definition,base_word,vocab_tags_attributes
desplegarse,"exhibirse, manifestarse","to unfold, to unfurl",Tema 3;Contexto 1;audio;verbo;belleza;estética;autoestima
sensible,"susceptible, receptivo, que puede percibir o sentir fácilmente",sensitive,Tema 3;Contexto 1;audio;adjetivo;belleza;estética;autoestima
cotidiano/a,"habitual, de todos los días",daily,Tema 3;Contexto 1;audio;adjetivo;belleza;estética;autoestima
conmover,inquietar o enternecer; provocar emociones o sentimientos,to move deeply,Tema 3;Contexto 1;audio;verbo;belleza;estética;autoestima
la queja,lamentación; expresión de disgusto o pena,complaint,Tema 3;Contexto 1;audio;sustantivo;belleza;estética;autoestima
la luca,tipo de metal muy caro,luca (a type of material),Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;hipster
la polera,"camiseta, remera",shirt,Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;hipster
lucas,"dinero; en algunos países, 1000 pesos",(in some countries) a one-thousand peso bill,Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;hipster
la feria americana,venta de ropa usada,yard sale; tag sale ,Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;hipster
el flequillo,pelo sobre la frente,bangs,Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;hipster
el jopo,flequillo peinado hacia arriba,quiff (hairstyle),Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;hipster
tener la posta,tener razón (informal),(informal) to be right,Tema 3;Contexto 2;verbo;belleza;estética;moda;diseño;hipster
fiable,que inspira confianza o seguridad,reliable,Tema 3;Contexto 2;adjetivo;belleza;estética;moda;diseño;encuesta
la casilla,recuadro para marcar una respuesta,box (on a form),Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;encuesta
proporcionar,"proveer, ofrecer",to provide,Tema 3;Contexto 2;verbo;belleza;estética;moda;diseño;encuesta
la prenda de vestir,pieza de ropa,garment,Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;encuesta
presumir,"alardear, ostentar","to brag, to show off",Tema 3;Contexto 2;verbo;belleza;estética;moda;diseño;encuesta
discrepar,"disentir, oponerse",to disagree,Tema 3;Contexto 2;verbo;belleza;estética;moda;diseño;encuesta
un vistazo,una mirada rápida,a glance,Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;encuesta
o sea,es decir,in other words,Tema 3;Contexto 2;belleza;estética;moda;encuesta
ajeno/a,que pertenece a otra persona,someone else's,Tema 3;Contexto 2;adjetivo;belleza;estética;moda;diseño;encuesta
la prestancia,"distinción, elegancia, refinamiento","distinction, elegance",Tema 3;Contexto 2;sustantivo;belleza;estética;moda;diseño;encuesta
rotundamente,"definitivamente, de manera contundente",emphatically,Tema 3;Contexto 2;audio;adverbio;belleza;estética;moda;diseño;profesión
el capricho,deseo sin razón; gusto arbitrario,whim,Tema 3;Contexto 2;audio;sustantivo;belleza;estética;moda;diseño;profesión
deambular,"pasear sin dirección específica, andar o caminar sin destino",to wander,Tema 3;Contexto 2;audio;verbo;belleza;estética;moda;diseño;profesión
el hallazgo,"descubrimiento, encuentro","finding, discovery",Tema 3;Contexto 2;audio;sustantivo;belleza;estética;moda;diseño;profesión
propiciar,"ayudar, favorecer, apoyar","to favor, to win the favor (of)",Tema 3;Contexto 2;audio;verbo;belleza;estética;moda;diseño;profesión
encogerse,"achicarse, reducirse",to shrink,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura
el denominador común,una característica que comparten personas diferentes,common denominator,Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura
el patrimonio,la herencia,heritage,Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura
el entramado,"la estructura, entrecruzamiento","grid, framework",Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura
vincular,conectar,to link,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura
legar,heredar; transmitir a las generaciones futuras,"to bequeath, to hand down",Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura
carecer de,"faltar, no tener",to lack,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
el alboroto,"desorden, tumulto","fuss, whirl",Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura;soledad
arrastrar,llevar por el suelo,to drag,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
crujir,cierto ruido que hacen la madera y otros materiales al chocar o romperse,to creak,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
desentrañar,"sacar lo más escondido, extraer del fondo","to pull out, to extract",Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
empeñarse en,esforzarse con disciplina y determinación,"to insist, to persist",Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
asomarse,mirar (por),to look out or through,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
la privación,carencia o escasez de los bienes más fundamentales,deprivation,Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura;soledad
hacer caso de,prestar atención a,to heed,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;soledad
la huerta,terreno destinado al cultivo,vegetable garden,Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura;soledad
hechizado/a,cautivado como por arte de magia,bewitched,Tema 3;Contexto 3;adjetivo;belleza;estética;lenguaje;literatura;soledad
la mente,"capacidad intelectual, pensamiento, cerebro",(the) mind,Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura;escribir
dispuesto/a,"preparado/a, listo/a, presto/a",ready,Tema 3;Contexto 3;adjetivo;belleza;estética;lenguaje;literatura;escribir
encerrarse,"confinarse, aislarse, retirarse de otras personas",to shut oneself away,Tema 3;Contexto 3;verbo;belleza;estética;lenguaje;literatura;escribir
atroz,"terrible, inhumano, horrible, cruel","terrible, awful",Tema 3;Contexto 3;adjetivo;belleza;estética;lenguaje;literatura;escribir
el guión,"texto o esquema escrito, plan ordenado",script,Tema 3;Contexto 3;sustantivo;belleza;estética;lenguaje;literatura;escribir
el convenio,acuerdo entre personas o instituciones,agreement,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;museo
acreditado/a,autorizado/a; que tiene el aval o el permiso oficial para realizar algo,"accredited, authorized",Tema 3;Contexto 4;adjetivo;belleza;estética;artes;museo
liberado/a,"gratis, sin restricciones",free (of charge),Tema 3;Contexto 4;adjetivo;belleza;estética;artes;museo
difundir,"propagar, dar a conocer de manera extensa","to spread, to disseminate",Tema 3;Contexto 4;verbo;belleza;estética;artes;museo
el patrimonio artístico,la herencia artística; el conjunto de obras pertenecientes a un país,artistic heritage,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;museo
resguardar,proteger contra el daño o el deterioro,to protect,Tema 3;Contexto 4;verbo;belleza;estética;artes;museo
ingresar,"entrar, matricularse en una institución",to enter (an institution),Tema 3;Contexto 4;verbo;belleza;estética;artes;Varo
la vanguardia,movimiento de artistas que presentan cambios o avances innovadores,avant-garde,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;Varo
estallar,"comenzar un conflicto, explotar",to break out,Tema 3;Contexto 4;verbo;belleza;estética;artes;Varo
acogido/a,admitido/a y protegido/a,"welcome, taken in",Tema 3;Contexto 4;adjetivo;belleza;estética;artes;Varo
amalgamar,"mezclar, combinar","to amalgamate, to unite, to merge",Tema 3;Contexto 4;verbo;belleza;estética;artes;Varo
el malabarismo,acción de tirar objetos al aire y recogerlos,juggling,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;Varo
la decalcomanía,técnica artística que consiste en transferir grabados de una superficie a otra,decalcomania,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;Varo
el fumage,técnica que consiste en hacer impresiones por humo o vela,fumage,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;Varo
el frottage,técnica de frotar un lápiz sobre un objeto bajo papel para conseguir la impresión de su forma,frottage,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;Varo
insólito/a,"raro/a, increíble","unusual, unbelievable",Tema 3;Contexto 4;adjetivo;belleza;estética;artes;Varo
el arcano,"misterio, secreto muy reservado y de importancia",mystery,Tema 3;Contexto 4;sustantivo;belleza;estética;artes;Varo
el juramento,promesa que implica una obligación,oath,Tema 3;Contexto 4;audio;sustantivo;belleza;estética;artes;Guernica
el triunfo,victoria o conquista,triumph,Tema 3;Contexto 4;audio;sustantivo;belleza;estética;artes;Guernica
apartar,separar o dividir; desunir,to separate,Tema 3;Contexto 4;audio;verbo;belleza;estética;artes;Guernica
el presidio,reclusión o cautiverio,imprisonment,Tema 3;Contexto 4;audio;sustantivo;belleza;estética;artes;Guernica
unirse,asociarse o juntarse con otras personas,to join,Tema 3;Contexto 4;audio;verbo;belleza;estética;artes;Guernica
precolombino/a,anterior a la llegada de Cristóbal Colón a América,pre-Columbian,Tema 3;Cinemateca;adjetivo;belleza;estética;arte;artes;precolombino
la cerámica,objetos de barro o porcelana,ceramics,Tema 3;Cinemateca;sustantivo;belleza;estética;arte;artes;precolombino
el textil,"tejido, objeto que se forma tejiendo",textile,Tema 3;Cinemateca;sustantivo;belleza;estética;arte;artes;precolombino
la vitrina,caja de vidrio para exhibir objetos,"glass cabinet, display case ",Tema 3;Cinemateca;sustantivo;belleza;estética;arte;artes;precolombino
la cosmovisión,manera de interpretar el mundo,worldview,Tema 3;Cinemateca;sustantivo;belleza;estética;arte;artes;precolombino
profano/a,"secular, que no es religioso o sagrado","secular, profane",Tema 3;Cinemateca;adjetivo;belleza;estética;arte;artes;precolombino
el pasto,"hierba, césped",grass; pasture,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;escuela;escuelas
la vereda,"camino, senda","lane, path",Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;escuela;escuelas
el vaivén,"oscilación, balanceo, ir y venir",swing,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;escuela;escuelas
amarrar,sujetar o atar un objeto a otro,to tie up,Tema 4;Contexto 1;verbo;vida contemporánea;educación;carreras;escuela;escuelas
el día hábil,día laboral,business day,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;escuela;escuelas
desempeñarse,realizar un trabajo o ejercer una profesión,"to act as, to carry out the duties of",Tema 4;Contexto 1;verbo;vida contemporánea;educación;carreras;escuela;escuelas
el jeque,(entre los pueblos musulmanes) persona que manda o gobierna,sheik,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
el porvenir,futuro,the future,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
la apuesta,predicción,"bet, guess",Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
el/la adivino/a,persona que predice el futuro,"seer, fortune-teller",Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
pronosticar,predecir,to predict,Tema 4;Contexto 1;verbo;vida contemporánea;educación;carreras;futuro
codiciado/a,"deseado/a, anhelado/a",coveted,Tema 4;Contexto 1;adjetivo;vida contemporánea;educación;carreras;futuro
el anhelo,"deseo, aspiración","desire, longing",Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
el cohete,aeronave usada para fines militares o científicos,rocket,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
el/la gerente,"mánager, directivo/a",manager,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
vaticinar,"predecir, pronosticar",to foretell,Tema 4;Contexto 1;verbo;vida contemporánea;educación;carreras;futuro
la fuga,"huida, abandono",escape,Tema 4;Contexto 1;sustantivo;vida contemporánea;educación;carreras;futuro
la remuneración,pago o salario,compensation (for a job),Tema 4;Contexto 1;audio;sustantivo;vida contemporánea;educación;carreras;docencia;género
redundar,resultar en algo; producir un efecto,to result in,Tema 4;Contexto 1;audio;verbo;vida contemporánea;educación;carreras;docencia;género
la trata humana,tráfico o comercio de personas,human trafficking,Tema 4;Contexto 1;audio;sustantivo;vida contemporánea;educación;carreras;docencia;género
la equidad,"igualdad, tratamiento imparcial",equity,Tema 4;Contexto 1;audio;sustantivo;vida contemporánea;educación;carreras;docencia;género
la pauta,norma o patrón,pattern,Tema 4;Contexto 1;audio;sustantivo;vida contemporánea;educación;carreras;docencia;género
cocer,cocinar en un líquido,to boil,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
rebanar,cortar en pedazos delgados,to slice,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
colar,separar el líquido de los sólidos,to strain,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
acitronar,freír hasta que tenga color marrón o que esté dorado,"to sauté, to caramelize",Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
amargar,tomar sabor amargo o desagradable,to make bitter,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
licuar,hacer líquido,to liquefy,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
sazonar,agregar especias para enriquecer el sabor,to season,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;receta;cocina
a caballo entre,(figurativo) dividido entre dos lugares,(figurative) halfway between,Tema 4;Contexto 2;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
el bombón,mujer bella y encantadora,a beauty,Tema 4;Contexto 2;sustantivo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
conjugar,combinar,to combine,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
la parrilla,la programación de televisión (o radio),TV (or radio) guide or schedule,Tema 4;Contexto 2;sustantivo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
la sobremesa,el momento después de comer,after-dinner (drink or conversation),Tema 4;Contexto 2;sustantivo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
el rodaje,la filmación,shooting (of a film),Tema 4;Contexto 2;sustantivo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
remontarse,regresar a una época pasada,to date back,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
llano/a,(lenguaje) sencillo y directo,"plain, simple (language)",Tema 4;Contexto 2;adjetivo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
la franja horaria,"tiempo, lugar en el horario",time slot,Tema 4;Contexto 2;sustantivo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
gratamente,de manera agradable,pleasantly,Tema 4;Contexto 2;adverbio;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
compensar,"retribuir, satisfacer",to compensate,Tema 4;Contexto 2;verbo;vida contemporánea;entretenimiento;diversión;entrevista;Hazas;televisión
esforzarse,trabajar muy duro para lograr un objetivo,to strive,Tema 4;Contexto 2;audio;verbo;vida contemporánea;entretenimiento;diversión;español
conseguir,"lograr, tener éxito",to achieve,Tema 4;Contexto 2;audio;verbo;vida contemporánea;entretenimiento;diversión;español
darse por vencido,abandonar algo demasiado difícil,to give up,Tema 4;Contexto 2;audio;verbo;vida contemporánea;entretenimiento;diversión;español
enriquecer,mejorar,to enrich,Tema 4;Contexto 2;audio;verbo;vida contemporánea;entretenimiento;diversión;español
la tara,"deficiencia, defecto","defect, imperfection",Tema 4;Contexto 2;audio;sustantivo;vida contemporánea;entretenimiento;diversión;español
suministro,"distribución, entrega","supply, provision",Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mensaje
mediático/a,relativo a los medios de comunicación,pertaining to the media,Tema 4;Contexto 3;adjetivo;vida contemporánea;viajes;ocio;mensaje
estrenarse,"ser presentado por primera vez (en especial, un espectáculo)",to premiere,Tema 4;Contexto 3;verbo;vida contemporánea;viajes;ocio;mensaje
batir,"vencer, superar un récord",to break (a record),Tema 4;Contexto 3;verbo;vida contemporánea;viajes;ocio;mensaje
cobrar fuerza,"adquirir poder o valor, dar energía",to gain strength,Tema 4;Contexto 3;verbo;vida contemporánea;viajes;ocio;mensaje
fondear,echar el ancla para explorar el fondo de las aguas que se navegan,to anchor,Tema 4;Contexto 3;verbo;vida contemporánea;viajes;ocio;mundo
la flota,grupo de barcos,fleet,Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mundo
el ventisquero,la parte alta de una montaña más expuesta al viento y la nieve,snowpack,Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mundo
zarpar,"levantar el ancla, salir",to set sail,Tema 4;Contexto 3;verbo;vida contemporánea;viajes;ocio;mundo
el calado,profundidad,depth,Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mundo
el grumete,joven aprendiz de marino,cabin boy,Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mundo
la carta de navegación,mapa detallado de aguas navegables,navigation chart,Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mundo
filudo/a,"afilado/a, con una punta que puede cortar",sharp,Tema 4;Contexto 3;adjetivo;vida contemporánea;viajes;ocio;mundo
condenado/a,"maldito/a, molesto/a","condemned, wretched ",Tema 4;Contexto 3;adjetivo;vida contemporánea;viajes;ocio;mundo
el chorro,"líquido, gas o luz que fluye por una apertura",jet (of water or light),Tema 4;Contexto 3;sustantivo;vida contemporánea;viajes;ocio;mundo
diáfano/a,"claro/a, cristalino/a","diaphanous, translucent",Tema 4;Contexto 3;adjetivo;vida contemporánea;viajes;ocio;mundo
sostenible,que se puede defender; razonable,sustainable,Tema 4;Contexto 3;audio;adjetivo;vida contemporánea;viajes;ocio;medioambiente
la propuesta,idea; proposición que una persona le hace a otra,proposal,Tema 4;Contexto 3;audio;sustantivo;vida contemporánea;viajes;ocio;medioambiente
desplazarse,"viajar, transitar, trasladarse",to travel; to move,Tema 4;Contexto 3;audio;verbo;vida contemporánea;viajes;ocio;medioambiente
el recorrido,ruta o itinerario,"route, itinerary",Tema 4;Contexto 3;audio;sustantivo;vida contemporánea;viajes;ocio;medioambiente
apetitoso/a,"gustoso/a, sabroso/a, que excita el gusto o el apetito","appetizing, mouth-watering",Tema 4;Contexto 3;audio;adjetivo;vida contemporánea;viajes;ocio;medioambiente
el cetáceo,una especie de mamífero a la que pertenecen la ballena y el delfín,cetacean,Tema 4;Contexto 3;audio;sustantivo;vida contemporánea;viajes;ocio;medioambiente
la careta,máscara; fingimiento,mask,Tema 4;Contexto 4;sustantivo;vida contemporánea;relaciones personales;amistad
aglutinante,que pega o une una cosa a otra,clinging,Tema 4;Contexto 4;adjetivo;vida contemporánea;relaciones personales;amistad
la apertura,actitud favorable a la comprensión de ideas o experiencias; acción de abrir,openness,Tema 4;Contexto 4;sustantivo;vida contemporánea;relaciones personales;amistad
homogéneo/a,"del mismo tipo o naturaleza, uniforme",homogeneous,Tema 4;Contexto 4;adjetivo;vida contemporánea;relaciones personales;amistad
perdurable,que perdura o permanece en el tiempo,lasting,Tema 4;Contexto 4;adjetivo;vida contemporánea;relaciones personales;amistad
la ductilidad,flexibilidad o maleabilidad,"ductility, flexibility, maleability",Tema 4;Contexto 4;sustantivo;vida contemporánea;relaciones personales;amistad
pertinaz,"duradero/a, obstinado/a","persistent, prolonged",Tema 4;Contexto 4;adjetivo;vida contemporánea;relaciones personales;cartas
afligirse,"entristecerse, apenarse",to grieve,Tema 4;Contexto 4;verbo;vida contemporánea;relaciones personales;cartas
extrañarse,sorprenderse,to be surprised,Tema 4;Contexto 4;verbo;vida contemporánea;relaciones personales;cartas
disimular,"ocultar, encubrir algo que se siente y padece","to hide (from someone), to conceal",Tema 4;Contexto 4;verbo;vida contemporánea;relaciones personales;cartas
el mentón,la barbilla,chin,Tema 4;Contexto 4;sustantivo;vida contemporánea;relaciones personales;cartas
el acuse de recibo,notificación de que se ha recibido algo (usualmente por correo),acknowledgment of receipt,Tema 4;Contexto 4;sustantivo;vida contemporánea;relaciones personales;cartas
a quemarropa,"de forma directa, sin rodeos","directly, to the point",Tema 4;Contexto 4;adverbio;vida contemporánea;relaciones personales;cartas
atento/a,"cortés, educado/a, formal",attentive,Tema 4;Contexto 4;adjetivo;vida contemporánea;relaciones personales;cartas
innoble,"despreciable, indigno/a",ignoble,Tema 4;Contexto 4;adjetivo;vida contemporánea;relaciones personales;cartas
ladear,inclinar hacia un lado,to tilt,Tema 4;Contexto 4;verbo;vida contemporánea;relaciones personales;cartas
humillar,"herir el amor propio o la dignidad de alguien, ofender, degradar",to humiliate,Tema 4;Contexto 4;audio;verbo;vida contemporánea;relaciones personales;arte;comunicar
la empatía,capacidad de compartir las emociones de otros y ponerse en su situación,empathy,Tema 4;Contexto 4;audio;sustantivo;vida contemporánea;relaciones personales;arte;comunicar
deteriorar,"afectar negativamente, empeorar, degenerar, destruir, romper",to deteriorate; to damage,Tema 4;Contexto 4;audio;verbo;vida contemporánea;relaciones personales;arte;comunicar
arrastrar,"llevar consigo algo pesado, literal o figurativamente",to carry; to bear,Tema 4;Contexto 4;audio;verbo;vida contemporánea;relaciones personales;arte;comunicar
el/la interlocutor(a),cada una de las personas que toman parte en un diálogo,conversational partner,Tema 4;Contexto 4;audio;sustantivo;vida contemporánea;relaciones personales;arte;comunicar
la sartén,instrumento para cocinar,frying pan,Tema 4;Cinemateca;sustantivo;vida contemporánea;cocinar
la guindilla,planta picante,chilli pepper,Tema 4;Cinemateca;sustantivo;vida contemporánea;cocinar
hundir(se),sumergir(se),to sink,Tema 4;Cinemateca;verbo;vida contemporánea;cocinar
la sobrasada,carne de cerdo,(pork) sausage,Tema 4;Cinemateca;sustantivo;vida contemporánea;cocinar
envolver,cubrir algo totalmente,to wrap,Tema 4;Cinemateca;verbo;vida contemporánea;cocinar
la coima,"soborno (Chile, Perú, Río de la Plata)",bribery,Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;manual
la utilidad,provecho que se saca de algo,usefulness,Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;manual
liar bártulos,prepararse para marcharse,to pack,Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;manual
la testarudez,"cualidad de terco, obstinado",stubbornness,Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;manual
la zancadilla,acción que consiste en tropezar o derribar a alguien metiéndole el pie,to trip somebody (up),Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;manual
desligarse,separarse,to become separated,Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;manual
el andamiaje,conjunto de bases teóricas,"structure, framework",Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;manual
oligofrénico/a,"idiota, imbécil",mentally handicapped,Tema 5;Contexto 1;adjetivo;desafíos mundiales;temas económicos;economía;manual
autogestionado/a,administrado/a con la participación de todos,self-managed,Tema 5;Contexto 1;adjetivo;desafíos mundiales;temas económicos;economía;micropréstamos
el monto,la cantidad,amount,Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;micropréstamos
el compromiso,la obligación contraída,commitment,Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;micropréstamos
emprender,empezar (una empresa o proyecto),to undertake,Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;micropréstamos
pretender,querer llevar a cabo algo,"to expect, to try to",Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;micropréstamos
aportar,"proporcionar, dar",to contribute,Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;micropréstamos
ejercer,practicar,to exercise (rights),Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;micropréstamos
netamente,puramente,"purely, clearly",Tema 5;Contexto 1;adverbio;desafíos mundiales;temas económicos;economía;micropréstamos
la factibilidad,cualidad de ser posible o realizable,feasibility,Tema 5;Contexto 1;sustantivo;desafíos mundiales;temas económicos;economía;micropréstamos
recaudar,cobrar,to collect (money),Tema 5;Contexto 1;verbo;desafíos mundiales;temas económicos;economía;micropréstamos
acceder,tener acceso a algo,to gain access,Tema 5;Contexto 1;audio;verbo;desafíos mundiales;temas económicos;economía;clase media
sintetizar,abreviar,"to synthesize, to summarize",Tema 5;Contexto 1;audio;verbo;desafíos mundiales;temas económicos;economía;clase media
equilibrado/a,prudente,balanced,Tema 5;Contexto 1;audio;adjetivo;desafíos mundiales;temas económicos;economía;clase media
arrojar,"generar, producir","to produce, to generate",Tema 5;Contexto 1;audio;verbo;desafíos mundiales;temas económicos;economía;clase media
formal,estable,formal,Tema 5;Contexto 1;audio;adjetivo;desafíos mundiales;temas económicos;economía;clase media
terciario/a,educación superior (más allá de la secundaria),(in this context) higher education,Tema 5;Contexto 1;audio;adjetivo;desafíos mundiales;temas económicos;economía;clase media
los estamentos,sectores semejantes de la sociedad,"class, stratum",Tema 5;Contexto 1;audio;sustantivo;desafíos mundiales;temas económicos;economía;clase media
"empinado/a, escarpado/a","inclinado/a, (terreno) abrupto",steep,Tema 5;Contexto 2;adjetivo;desafíos mundiales;medioambiente;desglaciación
crampón,pieza de metal que sirve para escalar o caminar sobre la nieve,crampon (climbing iron),Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;desglaciación
asolar,"destruir, arruinar",to devastate,Tema 5;Contexto 2;verbo;desafíos mundiales;medioambiente;desglaciación
el retroceso,"el revés, la regresión",backward movement,Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;desglaciación
derretir,convertir en líquido,to melt,Tema 5;Contexto 2;verbo;desafíos mundiales;medioambiente;desglaciación
la escorrentía,"el torrente, la pérdida de líquido",runoff,Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;desglaciación
desbordamiento,"efecto de rebasar el límite, salirse de los bordes",overflow,Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;desglaciación
un deslave,caída de tierra,landslide,Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;desglaciación
arrojar,"echar, vaciar",to throw (out),Tema 5;Contexto 2;verbo;desafíos mundiales;medioambiente;desglaciación
abastecer,"proveer, suministrar",to supply,Tema 5;Contexto 2;verbo;desafíos mundiales;medioambiente;desglaciación
trepar,"escalar, subir",to climb,Tema 5;Contexto 2;verbo;desafíos mundiales;medioambiente;desglaciación
msnm,acrónimo para metros sobre el nivel del mar,MSL (mean sea level),Tema 5;Contexto 2;desafíos mundiales;medioambiente;desglaciación
sustentable,que se puede mantener o conservar,sustainable,Tema 5;Contexto 2;adjetivo;desafíos mundiales;medioambiente;consumo;sustentabilidad
el trabajo de campo,investigación que se lleva a cabo en el mismo lugar donde ocurre o se produce un fenómeno,fieldwork,Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;consumo;sustentabilidad
contemplar,"analizar, examinar",to consider,Tema 5;Contexto 2;verbo;desafíos mundiales;medioambiente;consumo;sustentabilidad
involucrado/a,"envuelto/a, implicado/a",involved,Tema 5;Contexto 2;adjetivo;desafíos mundiales;medioambiente;consumo;sustentabilidad
escaso/a,"poco/a, limitado/a",scarce,Tema 5;Contexto 2;adjetivo;desafíos mundiales;medioambiente;consumo;sustentabilidad
la credibilidad,"cualidad de creíble, posible",credibility,Tema 5;Contexto 2;sustantivo;desafíos mundiales;medioambiente;consumo;sustentabilidad
la capacitación,entrenamiento para desempeñar un trabajo o adquirir habilidades,training,Tema 5;Contexto 2;audio;sustantivo;desafíos mundiales;medioambiente;capacitación
impartido/a,"ofrecido/a, dado/a","given, offered",Tema 5;Contexto 2;audio;adjetivo;desafíos mundiales;medioambiente;capacitación
brindar,proporcionar a alguien alguna cosa u oportunidad,to offer,Tema 5;Contexto 2;audio;verbo;desafíos mundiales;medioambiente;capacitación
