target_word,target_definition,base_word,vocab_tags_attributes
consagrar,dedicar la atención a un asunto,"to dedicate, to devote",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
la lancha,"embarcación pequeña, usualmente con motor",boat,Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
sacar provecho (de),beneficiarse (de),to profit (from),Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
la coyuntura,conjunto de circunstancias u oportunidades,"situation, circumstances",Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
la parcela,porción pequeña de tierra,smallholding,Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
lamentarse,expresar pena o tristeza por alguna cosa,"to regret, to be sorry about",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
el/la santiaguino/a,persona originaria de Santiago (de Chile),from Santiago (de Chile),Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;cultura;mall
vinculado/a,unido o relacionado con otra cosa,"linked, connected",Tema 1;Contexto 3;adjetivo;familia;comunidad;geografía humana;cultura;mall
dispararse,aumentar; popularizarse con mucha rapidez,"to shoot up, to go off",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;cultura;mall
la etapa,época o paso en un proceso,"stage, phase",Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;cultura;mall
el residuo,"resto, basura, remanente","waste, garbage",Tema 1;Contexto 3;audio;sustantivo;familia;comunidad;geografía humana;basura
gestionar,"manejar, dirigir, organizar",to manage,Tema 1;Contexto 3;audio;verbo;familia;comunidad;geografía humana;basura
la tasa,"valoración, medida, relación entre dos magnitudes",rate,Tema 1;Contexto 3;audio;sustantivo;familia;comunidad;geografía humana;basura
la generación,"producción, creación",production ,Tema 1;Contexto 3;audio;sustantivo;familia;comunidad;geografía humana;basura
la medida,acción preventiva; plan o decisión para mejorar o evitar algo,measure (regulation),Tema 1;Contexto 3;audio;sustantivo;familia;comunidad;geografía humana;basura
el sector informal,"negocios a escala pequeña, individual o privada",the informal sector,Tema 1;Contexto 3;audio;sustantivo;familia;comunidad;geografía humana;basura
inculcar,"infundir, transmitir (ideas, valores)",to instill,Tema 1;Contexto 4;verbo;familia;comunidad;tradiciones;valores;niño
menudo/a,"pequeño/a, fino/a","thin, slight (person)",Tema 1;Contexto 4;adjetivo;familia;comunidad;tradiciones;valores;niño
ensombrecerse,"entristecerse, apagarse",to darken,Tema 1;Contexto 4;verbo;familia;comunidad;tradiciones;valores;niño
sombrío/a,melancólico/a,"cheerless, gloomy",Tema 1;Contexto 4;adjetivo;familia;comunidad;tradiciones;valores;niño
tutear,"tratar de «tú» a alguien, en lugar de usar la forma «usted»",to address as tú,Tema 1;Contexto 4;verbo;familia;comunidad;tradiciones;valores;niño
empeñarse (en),"intentar obstinadamente, hacer un esfuerzo para lograr algo",to insist or persist,Tema 1;Contexto 4;verbo;familia;comunidad;tradiciones;valores;niño
desequilibrarse,perder la calma,to become mentally disturbed,Tema 1;Contexto 4;verbo;familia;comunidad;tradiciones;valores;niño
el capricho,deseo pasajero y extravagante,whim,Tema 1;Contexto 4;sustantivo;familia;comunidad;tradiciones;valores;niño
la compostura,comportamiento digno y adecuado,"composure, self-control",Tema 1;Contexto 4;sustantivo;familia;comunidad;tradiciones;valores;niño
desconcertar,"confundir, desorientar (a alguien)",to disconcert,Tema 1;Contexto 4;verbo;familia;comunidad;tradiciones;valores;niño
incongruente,"incoherente, ilógico","nonsensical, incoherent",Tema 1;Contexto 4;adjetivo;familia;comunidad;tradiciones;valores;niño
fastidiado/a,"molesto/a, incómodo/a","fed-up, bored",Tema 1;Contexto 4;adjetivo;familia;comunidad;tradiciones;valores;niño
el/la gestor(a),persona que promueve o impulsa objetivos específicos,manager,Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
el casco urbano,área o zona central de una ciudad (lo contrario de la zona rural),urban area,Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
la superación,acción de vencer obstáculos y derrotar los límites,self-improvement,Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
el rescate,acción de rescatar o recuperar,"recovery, rescue",Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
la índole,característica o naturaleza de una cosa,"nature, type",Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
la talabartería,arte de trabajar artículos de cuero,leather working,Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
la orfebrería,arte de trabajar artículos de metal (especialmente oro y plata),goldsmithing; silversmithing,Tema 1;Contexto 4;sustantivo;familia;comunidad;tradición;tradiciones;valores;artesanías
tallar,"dar forma, especialmente en el oficio de la escultura",to sculpt or carve,Tema 1;Contexto 4;verbo;familia;comunidad;tradición;tradiciones;valores;artesanías
la creencia,fe (credo) o convicción,belief,Tema 1;Contexto 4;audio;sustantivo;familia;comunidad;tradiciones;valores;cultura;garífuna
la etnia,"grupo étnico, pueblo",ethnic group,Tema 1;Contexto 4;audio;sustantivo;familia;comunidad;tradiciones;valores;cultura;garífuna
compuesto/a (de),"conformado (por), hecho (de)","consisting of, made up of",Tema 1;Contexto 4;audio;adjetivo;familia;comunidad;tradiciones;valores;cultura;garífuna
fusionar,"integrar, unir",to merge,Tema 1;Contexto 4;audio;verbo;familia;comunidad;tradiciones;valores;cultura;garífuna
el legado,"herencia, lo que una generación deja para las siguientes",legacy,Tema 1;Contexto 4;audio;sustantivo;familia;comunidad;tradiciones;valores;cultura;garífuna
el banquito,banco o silla pequeña,stool,Tema 1;Cinemateca;sustantivo;familia;comunidad;ella o yo
la mamadera,"biberón, botella",feeding bottle,Tema 1;Cinemateca;sustantivo;familia;comunidad;ella o yo
la plata,el dinero (en Argentina),money,Tema 1;Cinemateca;sustantivo;familia;comunidad;ella o yo
el bicho,animal (informal),"animal (literally, a bug), creature",Tema 1;Cinemateca;sustantivo;familia;comunidad;ella o yo
con todas las letras,con claridad,clearly,Tema 1;Cinemateca;adverbio;familia;comunidad;ella o yo
hacerse cargo (de),hacerse responsable,to take charge (of),Tema 1;Cinemateca;verbo;familia;comunidad;ella o yo
cifrar,"calcular, estimar","to calculate, to estimate",Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;móvil;nomofobia
aquejado/a,que sufre de una enfermedad,suffering (from),Tema 2;Contexto 1;adjetivo;ciencia;tecnología;sociedad;móvil;nomofobia;enfermedad
el cuadro,conjunto de síntomas de una enfermedad,symptoms ,Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;móvil;nomofobia;enfermedad
el síndrome de abstinencia,reacciones negativas que sufre una persona adicta cuando deja temporalmente su adicción,withdrawal symptoms,Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;móvil;nomofobia;enfermedad
difuminado/a,que ha perdido claridad o límites,blurred,Tema 2;Contexto 1;adjetivo;ciencia;tecnología;sociedad;móvil;nomofobia
el enganche,"adicción, dependencia","(informal) hook, addiction",Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;móvil;nomofobia;adicción;enfermedad
tintinear,"producir un sonido agudo, como el de dos copas que chocan",to tinkle,"Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;nosotros, no"
descomponerse,"enfermar, perder la integridad física; desgastarse","to decay, to putrefy","Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;nosotros, no"
la senectud,la vejez,old age,"Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;nosotros, no"
surtir,"producir, generar",to produce; to take effect,"Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;nosotros, no"
aprestarse,disponerse a hacer algo,to prepare oneself,"Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;nosotros, no"
el verdugo,persona que castiga o atormenta sin piedad a otra,"executioner, tormentor","Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;nosotros, no"
derramar,verter o vaciar líquidos u otras sustancias,to spill,"Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;nosotros, no"
el desprecio,"sentimiento negativo hacia otra persona; desdén, falta de aprecio","disdain, scorn","Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;nosotros, no"
rumbo a...,en dirección a un lugar o situación,headed for,"Tema 2;Contexto 1;adverbio;ciencia;tecnología;sociedad;nosotros, no"
carcomer,consumir poco a poco; mortificar o atormentar,to eat away (at),"Tema 2;Contexto 1;verbo;ciencia;tecnología;sociedad;nosotros, no"
el renacuajo,"larva de una rana, (figurado) niño pequeño",tadpole,"Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;nosotros, no"
la cacería,acción de cazar,hunt,"Tema 2;Contexto 1;sustantivo;ciencia;tecnología;sociedad;nosotros, no"
el peatón,persona que camina por una vía pública,pedestrian,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta;transporte
la somnolencia,ganas de dormir o debilidad,"drowsiness, sleepiness",Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta;transporte
el fallecimiento,la muerte,death,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta
los conductores kamikazes,personas que conducen de manera arriesgada,reckless drivers,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta
el semáforo,aparato eléctrico con luces para controlar el tráfico,traffic light,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta;transporte
el siniestro,"accidente, tragedia","accident, catastrophe",Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta;transporte
la gestión,"manejo, administración",administration,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta
concienciar,crear conciencia o sentido de responsabilidad entre las personas,to raise awareness,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta
el/la usuario/a,persona que usa un servicio o un espacio,user,Tema 2;Contexto 1;sustantivo;audio;ciencia;tecnología;sociedad;Marta
arribar,"llegar, alcanzar",to arrive; to reach,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Internet;Google
instaurar,"establecer, instituir",to establish,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Internet;Google
asesorar,"consultar, buscar orientación o asesoría especializada",to advise,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Internet;Google
el/la docente,profesor(a),educator,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Internet;Google
